




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (2409)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
DNA-templated transcription, elongation (GO:0006354)	79	1	9.24	-	.11	2.79E-03	4.99E-02
chromatin assembly or disassembly (GO:0006333)	170	7	19.88	-	.35	2.79E-03	4.98E-02
DNA-templated transcription, termination (GO:0006353)	79	1	9.24	-	.11	2.79E-03	4.98E-02
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	184	8	21.52	-	.37	2.78E-03	4.98E-02
endosome organization (GO:0007032)	78	1	9.12	-	.11	2.76E-03	4.95E-02
metanephric nephron morphogenesis (GO:0072273)	21	9	2.46	+	3.66	2.76E-03	4.95E-02
metanephric epithelium development (GO:0072207)	21	9	2.46	+	3.66	2.76E-03	4.94E-02
telomere maintenance (GO:0000723)	99	2	11.58	-	.17	2.74E-03	4.93E-02
positive regulation of cellular protein catabolic process (GO:1903364)	156	6	18.25	-	.33	2.75E-03	4.93E-02
dendrite morphogenesis (GO:0048813)	61	17	7.14	+	2.38	2.74E-03	4.93E-02
positive regulation of peptide secretion (GO:0002793)	110	26	12.87	+	2.02	2.72E-03	4.91E-02
neuron recognition (GO:0008038)	48	15	5.61	+	2.67	2.73E-03	4.91E-02
positive regulation of chromosome organization (GO:2001252)	182	8	21.29	-	.38	2.71E-03	4.90E-02
negative regulation of response to stimulus (GO:0048585)	1831	260	214.17	+	1.21	2.71E-03	4.90E-02
secretion (GO:0046903)	1047	158	122.47	+	1.29	2.71E-03	4.90E-02
